天数 开始时间 停止时间 事件（sleep1，class2，study3，nga4，bili5，game6）（从凌晨百词斩到晚上回宿舍为一天整）（class是去教室花费的时间，或者上课花费的时间）(study指的是听张宇考研数学课以及写数学题）（nga指的是逛知乎论坛贴吧NGAcc98）（bili指的是看各种游戏视频动画番剧真人vlog）
25 2.5 8.5 1
25 8.5 10.5 2
25 10.5 11.5 3
25 12.5 14.5 5
25 14.5 15.5 3
25 15.5 16 4
25 16 17 3
25 19 20 5
25 20 22 3
25 22 22.5 4
25 22.5 23 3
26 0.5 2 5
26 2 9.5 1
26 9.5 10 2
26 10 10.5 5
26 10.5 11.5 3
26 11.5 12.5 5
26 13.5 14.5 5
26 14.5 16 3
26 16 16.5 4
26 18 20 5
26 20 21 3
26 21 21.5 4
26 21.5 23 3
27 0 1.5 4
27 1.5 9.5 1
27 9.5 10 2
27 10 11 5
27 11 11.5 3
27 11.5 12 5
27 13.5 14 5
27 14 14.5 3
27 14.5 17 2
27 18.5 20 5
27 20 22 3
27 22 22.5 4
27 22.5 23 3
28 0 2 5
28 2 9 1
28 9 9.5 2
28 9.5 10.5 5
28 10.5 12 3
28 14.5 15.5 4
28 15.5 17 3
28 18 19 4
28 19 20 5
28 20 21 3
28 21 21.5 6
28 21.5 23 3
29 0 1.5 4
29 1.5 9 1
29 9 9.5 2
29 9.5 10.5 4
29 10.5 12.5 3
29 13.5 14.5 6
29 14.5 15.5 1
29 15.5 17.5 3
29 18.5 21 5
29 21 22 6
29 22 23 3
30 0.5 3 6
30 3 9 1
30 9 9.5 2
30 9.5 10.5 5
30 10.5 11 6
30 11 12.5 3
30 13.5 15 5
30 15 16 3
30 16 17.5 2
30 18.5 22.5 2
30 22.5 23 6
30 23 24 2
